('2013/01', 37745640.220000856)
('2013/02', 38355637.53000052)
('2013/03', 44751156.43000083)
('2013/04', 43231117.49000077)
('2013/05', 44543007.57000099)
('2013/06', 42291909.0000005)
('2013/07', 40155431.97000097)
('2013/08', 975457587.2199845)
('2013/09', 42086283.120000534)
('2013/10', 44247336.880000584)
('2013/11', 41357507.750000715)
('2013/12', 40859050.54000088)
('2014/01', 38408886.000000805)
('2014/02', 36324066.9400006)
('2014/03', 58834893.600000106)
('2014/04', 42491850.270000845)
('2014/05', 44784095.000000075)
('2014/06', 65498097.15000034)
('2014/07', 39254657.5000002)
('2014/08', 38860261.55000043)
('2014/09', 40044890.8000002)
('2014/10', 42225207.51000104)
('2014/11', 38602964.16000038)
('2014/12', 38072719.13000032)
('2015/01', 171590254.9899985)
('2015/02', 135111977.61999965)
('2015/03', 210197223.15999874)
('2015/04', 403568758.3300062)
('2015/05', 179394357.3800011)
('2015/06', 145792590.16000003)
('2015/07', 84515036.04999931)
('2015/08', 92276741.91000019)
('2015/09', 79199270.28999934)
('2015/10', 53754600.62999929)
('2015/11', 303443064.4099896)
('2015/12', 60682604.720000595)
('2016/01', 50697224.50999925)
('2016/02', 57601849.969999544)
('2016/03', 74874746.25000012)
('2016/04', 47228913.780000284)
('2016/05', 72323984.5299987)
('2016/06', 33896433.010000266)
('2016/07', 36390410.13999851)
('2016/08', 39256173.17999884)
('2016/09', 93223386.22999825)
('2016/10', 59653162.549998894)
('2016/11', 30138262.449999474)
('2016/12', 30184487.899999265)
