('2013/01', 37730044.970000856)
('2013/02', 38340698.32000053)
('2013/03', 44732379.260000795)
('2013/04', 43214187.47000076)
('2013/05', 44524219.540001)
('2013/06', 42271322.0400005)
('2013/07', 40134822.680001)
('2013/08', 37682560.430000395)
('2013/09', 42063550.69000052)
('2013/10', 44224925.72000062)
('2013/11', 41338209.62000071)
('2013/12', 40837181.24000091)
('2014/01', 38386839.84000083)
('2014/02', 36307004.5100006)
('2014/03', 44284679.250000134)
('2014/04', 42466706.84000083)
('2014/05', 44756064.69000005)
('2014/06', 41792542.54000005)
('2014/07', 39226182.5000002)
('2014/08', 38831990.36000043)
('2014/09', 40017216.75000018)
('2014/10', 42197411.700001046)
('2014/11', 38580160.3600004)
('2014/12', 38050791.37000034)
('2015/01', 35451854.410000384)
('2015/02', 34820809.80999985)
('2015/03', 38785147.100000896)
('2015/04', 38497958.99000079)
('2015/05', 40241279.97000027)
('2015/06', 37097405.67000021)
('2015/07', 34886888.96000072)
('2015/08', 34274681.6500004)
('2015/09', 34390743.6400004)
('2015/10', 37173034.360000454)
('2015/11', 34006353.46000046)
('2015/12', 34001154.770000465)
('2016/01', 31565779.210000254)
('2016/02', 32412639.110000335)
('2016/03', 36006589.41000048)
('2016/04', 35148364.89000061)
('2016/05', 36129593.42000064)
('2016/06', 33764313.940000266)
('2016/07', 31309619.79999931)
('2016/08', 30107555.28999982)
('2016/09', 30937246.44999961)
('2016/10', 32586319.619999435)
('2016/11', 29774127.989999533)
('2016/12', 30141248.59999928)
