NYPD	152, 23.4436, 0.1961, 3.3417, 2.8521
DSNY	134, 7173.5142, 2.8167, 1794.0475, 1761.9273
DPR	76, 16797.1497, 0.2736, 5090.0824, 4680.0402
DOHMH	14, 185.8353, 0.1197, 28.5549, 45.6451
DOB	44, 46095.2431, -18.1161, 4580.1845, 9176.5734
DOF	130, 339.4650, 0.0281, 60.5092, 75.7123
DOITT	3, 648.1786, 236.6678, 416.5782, 171.9286
DCA	4, 744.6353, 0.0586, 378.1519, 357.0535
TLC	10, 26263.2472, 0.0125, 12410.9563, 12118.9453
DEP	37, 1333.1167, 0.0483, 174.2270, 265.9467
DOE	1, 115.3069, 115.3069, 115.3069, 0.0000
DFTA	7, 88.7022, 0.4983, 18.5794, 29.7979
DHS	20, 12.1300, 0.2397, 2.4949, 2.5500
DOT	109, 1800.4167, -24.0167, 94.4348, 247.5356
HPD	156, 690.2461, -14.6428, 112.8101, 102.6568
