NYPD	02, 116, 4.14
DEP	01, 7, 0.23
DEP	02, 4, 0.14
TLC	07, 1, 0.03
DOT	02, 35, 1.25
DOF	02, 10, 0.36
DOB	10, 1, 0.03
DCA	02, 1, 0.04
DSNY	08, 4, 0.13
DHS	02, 20, 0.71
DOHMH	05, 1, 0.03
DSNY	05, 1, 0.03
DPR	02, 21, 0.75
HRA	02, 10, 0.36
3-1-1	02, 1, 0.04
DPR	07, 7, 0.23
TLC	04, 1, 0.03
DOT	03, 72, 2.32
NYPD	03, 35, 1.13
DOF	03, 74, 2.39
DOITT	01, 1, 0.03
DOP	02, 1, 0.04
DSNY	06, 6, 0.20
HPD	02, 74, 2.64
DPR	01, 2, 0.06
DEP	03, 51, 1.65
FDNY	02, 1, 0.04
HRA	03, 5, 0.16
CHALL	03, 8, 0.26
DHS	03, 1, 0.03
DSNY	02, 7, 0.25
DSNY	03, 46, 1.48
DSNY	01, 5, 0.16
DOT	04, 1, 0.03
DFTA	02, 3, 0.11
DOB	02, 17, 0.61
DEP	12, 1, 0.03
DPR	08, 6, 0.19
DOB	05, 1, 0.03
DOHMH	03, 5, 0.16
DOB	03, 9, 0.29
DPR	05, 22, 0.71
DPR	06, 20, 0.67
DOB	08, 2, 0.06
TLC	10, 1, 0.03
DFTA	03, 4, 0.13
CHALL	02, 1, 0.04
FDNY	01, 2, 0.06
DPR	03, 9, 0.29
CHALL	01, 1, 0.03
DOB	04, 2, 0.07
DCA	03, 3, 0.10
DOT	05, 1, 0.03
NYPD	01, 1, 0.03
DOF	01, 46, 1.48
DSNY	11, 46, 1.53
TLC	03, 6, 0.19
DOHMH	02, 5, 0.18
DSNY	04, 32, 1.07
DOITT	03, 1, 0.03
DPR	04, 1, 0.03
DOB	07, 1, 0.03
DOB	09, 3, 0.10
DOB	11, 4, 0.13
DOB	06, 2, 0.07
DOE	03, 1, 0.03
DOT	01, 11, 0.35
TLC	02, 1, 0.04
DOITT	02, 1, 0.04
DOB	12, 2, 0.06
HPD	01, 1, 0.03
HPD	03, 81, 2.61
DSNY	07, 6, 0.19
DEP	11, 1, 0.03
DOHMH	11, 5, 0.17
